odd_bert,Instead of going to the gym i just sit around nd drink protein shakes
simplypharyn,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
JAMIEEXO,@marcoxxdiaz if I wasn't too lazy to bike over and if I didn't have to be up at 6. But definitely down to day drink tomorrow!
Taaasia_14,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
manny_cubes,I like a girl that goes to the gym and goes to school. Not just eat and drink alcohol wtf😂😂😂
KaseyWarner_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
metaHNabih,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
tierneyaileen,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
abenbenji,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
mwescott2,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
1iamPayne,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
PoorJokePaul,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
airahnadine_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AmandaTAnderson,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
DeborahLClement,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
aubrey_eberly,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
MJVILLENAz,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
cierrajeannae,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
willz_crosser,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ThePERFECTmom_,Ok I had to stp being lazy in get some juice 😏
Sin_Dee_Marie,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
MewNabaa,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
kfwillms,@DickNolce chocolate milk for the post workout 👌
DickNolce,@DickNolce chocolate milk for the post workout 👌
diontweetz,I swear all I see in scandal is them drink wine out these fat ass glasses 😂
Omshadiddle,@AmyRemeikis I standard drink per hour from when you(she)  started. Work out how many shots of alcohol total.
EMCEEKITKAT,My post workout drink for the day #milk2go http://t.co/U6znE1JKsF
AriOnRaJan,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
sarboish,"OKEH RT @TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
angelsantosmae,"""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
Russ_OMG,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
prettyempress,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
KaylaSalyer1,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
chiaracorbet,Funny cause I was going to start a juice diet today lol 🙅
carlosterrazas5,"If you don't surf, then you should be scared but I'll be in the water 😎"
Raka_Tomz,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_estephanni,Chillin in my room applying for jobs online & drinking soda which I never do cause I don't like it.  #Life
fitnessfreak56,That moment when you realize you forgot either your water bottle or your headphones to the gym
shaper_72,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ShinobiZie,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
MJhammer21,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
debbiepradhita,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
IanBrandt97,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
IjatKuchai,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Nthiguera,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
rushirajvara,"RT @TheWeirdWorld If you want to burn fat faster, a cup of coffee before a workout will speed up the process. @POOJARAJA"
widjiwidja,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
bahrur_rijal,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
dcurrington1234,Chocolate milk after a good workout 👌👌
krikabor,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
PictureEuphoria,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Jade___Richards,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Celebs_Goss,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
PonderingQuotes,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Kawthar_Taqi,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
MrAnce_,On a big detox after that junk I've eaten & drank over the weekend
malesela_lucas,Lol Seeing a fat black woman drinking a 2L coke alone always reminds me that in this world one must mind his/her own business
myrule9,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Onlytyrijohnson,@MayneKneeAck I don't drink coffee maybe I should take pre workout before the class
BenevolentDjinn,I'm so ashamed for having this soda
wilsonnewell8,All athletes know that you basically marry chocolate milk after a workout.
BestLifeAdvise,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
gmsudogheineck,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
caitiebreaux,All athletes know that you basically marry chocolate milk after a workout.
kateveenhuizen,chocolate milk will forever be the go to drink after a practice/workout 😋👌
VipuVjz,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AmsyarHamtaro,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Bri_Danielle77,When we have soda I hide them in random spots so I know where they are & no one else does 😈
isabelxmaarie,"I put soda in my water cup at taco bell like last week but the manager yelled at me, i was so embarrassed :/"
RSGirl90,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
burgerforevs,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
OuhhAdinda,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
NellyAmir,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
edvveirdo,I've drank so much coke today I'm so embarrassed
ilysmble,"“@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.” Hindi ako umiinom ng coffee"
USpruew,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ullah_natasha,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AinulAzizan,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
theophilia16,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Hoopers_Finest,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
alaysiaisonfire,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
margaret_su,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
SSWEETHE4RTSS,"""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" @alanaverhoeven @iloontjexx"
aybastos,@jjskittlez How about you go to the gym & next time we'll drink some Moscato or a Refresh wine + movie? #motivation
TheFitChannel,"Back to Fall Workout: Favorite Fashions, Yummy Snacks, Chic Drinks for Getting ... - Huffington Post http://t.co/8MypWYCetD"
KarenBchakjian,I like a girl that goes to the gym and goes to school. Not just eat and drink alcohol wtf😂😂😂
Sally_Saunders,Morning coffee post trail run #southoffrance http://t.co/vUg3cauNDw
iloveYOUmaleha,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
syazdino,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
draglet,@wifeymartell I have however had a bath already just was being lazy and drinking coffee in bed as got cold! X
Dejiatanda,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
LHReasearch,Do you know the best times to drink water during a workout (and how *much* you should glug)? http://t.co/4wjJ2Yn3tV http://t.co/ggk8tyvugf
AyyeYoLily,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
StainedSouls,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
KID_KUTI,"I'm predicting my schedule while I'm on leave to be as follows: workout in the morning, coffee and reading/studying after, beer with friends"
clickr_Tj,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
QuiteQuietOne,I'm really enjoying this salad and water diet I don't even miss beer and pizza said no one EVER
Ryding2Health,Do you know the best times to drink water during a workout (and how *much* you should glug)? http://t.co/4wjJ2Yn3tV http://t.co/ggk8tyvugf
stephyXshadows,Mmmm. Chocolate milk after a good workout 💪🐮✔️
yoaiide,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
lailanft,"@mirakushandika ""@TheWeirdWorld: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
farkhanOthman,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
OSheaAlexanderr,I read an article that said it's good to drink beer after a workout. so cheers 🍻
jennifer_suckss,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
cikpororo,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
kaylaanndaniels,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
xpalequeenx,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
DANAsaur29,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
wollensk516,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
JonArroyo87,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
HamzaNiane,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Rickyvanh,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
karimetorres3,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Rob1_Hall,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
emily_booth,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
OYAmagng,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process. #UnknotYourTieWithOmobabNo1"
mengnoy_ooy,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
davidmaglov,@Factsionary and make you even more thirsy...no coffee or alcohol begore or during workout
katymac_fitclub,My essentials! ❤️ juiceplus shake and my #beastmode water bottle 💦💦 for the bottles visit… http://t.co/AGu4F45Yqm
ReeverK8,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
akhim_94,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
asabbey32,I've never been so happy that I forgot to pack a water bottle and a sports bra in my gym bag 😳😂 #guessicantgo
purdybarb,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ElpEmily,If Michelle Obama thinks taking sweet tea out of Southern high school cafeterias is gonna keep kids from being fat she needs a wake call
_aamirahmad,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
angelatravels11,"Eat, Drink, Bike: Exploring Sonoma wine country http://t.co/F85FXbuILq via @SandInSuitcase"
CourtneyGarris7,All athletes know that you basically marry chocolate milk after a workout.
AllAthletesKnow,All athletes know that you basically marry chocolate milk after a workout.
AHershberger1,All athletes know that you basically marry chocolate milk after a workout.
missalier,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
siputubuku,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Twerkteam_loks,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
abanait_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Hawkeyescrush,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
chriskioudjian,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ItsMePatrickkk,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
MHDesignsLtd,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
nikenprett,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AlfredoSaaauce,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
rsuppah10,All athletes know that you basically marry chocolate milk after a workout.
vanizle3,@katlovee oh hell yes I drank still lol. It made me lose my beer belly a bit. You just have to workout with it a bit (: good luck 💜 Iloveit
maddhills,chocolate milk after a workout 🙌🐮
bailey_martin31,All athletes know that you basically marry chocolate milk after a workout.
bailey_martin31,All athletes know that you basically marry chocolate milk after a workout.
fallyfalz,my workout routine consists of sweating out alcohol so i can drink again
Feras_lahham,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
blvdtennis,What r the twins drinking in those red wine glasses? They're fit! #RHONJ @VirginiaKVJ If what they drink makes them skinny then I want it!
PLHSVB,All athletes know that you basically marry chocolate milk after a workout.
mel_is_a_rose,My roommates are leaving to go for a run and I'm putting beer in a backpack to go drink with my friends #priorities
Christi23423339,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
BFlawed,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
JustAJB,Ros is at the gym and lazy Lauren is still in bed. Coffee time ☕️ http://t.co/YQOsQXay4N
iamkhaha,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
abdurrehman111,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
missisippy,"After I am back from my workout, I finish of with water, protein shake and my supplements!"
vincefraga,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
BIGWORDseh,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
maggie2359,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
mwebber699,After a weekend of junk food and drink I'm pleased to say I'm back on Herbalife. And I'm trying out… http://t.co/vl1LQxrADc
AryanGupta23,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Eskaey,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
erin_earle,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
wylhs_,That motherfucker spilled coke in my room and I forgot to clean it up
IStayNguyening,@TheSimmonns LOL I’m not that big of a meat head. I only drink protein post workout. Mainly for recovery and because I can’t eat past 7.
AustynWhaley1,All athletes know that you basically marry chocolate milk after a workout.
bridistler_,“@AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout.”
MalcolmUrLeader,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
andrioily,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
saltriver1942,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
prettyocean_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
annerb_1,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ScottySmalls25,"“@LifeCheates: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.”"
bitchassdrew,@turntafdrew bruh i have so many soda cans and left over food things in my room its terrible 😷 #GrossTwinz2k14
Minipop84,I like to drink soda water in my wine glass during the week & save the bottle/calories for the weekend 😊 #fitness #fitfam #nutrition
ENIADsaraminez,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
chuwariwaps25,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
shelbs_mmmkay,All athletes know that you basically marry chocolate milk after a workout.
eclark0277,All athletes know that you basically marry chocolate milk after a workout.
JariWolf,"@haurseuh Yeah, my problem is I drink a lot of beer and don't exercise anymore. Let's see if I can quit beer and do some minor work out."
LovelyNat_Rose,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
CourtneySchonew,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
JoshuaDSmith1,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
apriedesagun,"""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
stlsocialgroup,"RT @YogaBuzzSTL  We do a yoga class, then a social hour. At the breweries it's a beer tasting, but we are working on coffee, wine, ice cream"
TheDrunkyStory,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Brennanpaden24,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
BINGBING_BLOG,On a diet and got to go for a picnic? Replace your potato chips and soft drink with popcorn and fruit juice.
laurenewoods,Sip Away Muscle Aches: Drinking coffee before a workout has been shown to help reduce muscle soreness. http://t.co/FLWFIAr6aZ #TravelWell
Browneyed_mama,Let's drink beer and eat nachos and talk about how skinny we're gonna be when we start exercising....
FenwickMason,"I'm so smart... when I don't want to work out, I drink a pre workout so I don't have a choice."
PanchoVilla559,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
janinemorial,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
gAnAcItIzEn,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
imanl_l,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
W4NI3YYY,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
aquelatuamiga,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
sarahtheskuxx,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_ahreeveee,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
lim_mariaaiza,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
HttpA666L,Today I got a gym membership & a strict ass 21 day diet plan that requires me to not drink alcohol or coffee if I don't get skinny I swear..
Stephen_Kolodko,All athletes know that you basically marry chocolate milk after a workout.
berner_sophie,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
NicoleDelaCruzV,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
madeleinegio,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
tee41101,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
FactsGuide,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
KellyGiannone,I've drank more beer hanging out with justin this past week than I have all summer. Aka I need to hit the fucking gym
DanieeAlcala,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Giannnnnnnnnna,All athletes know that you basically marry chocolate milk after a workout.
_Debb11,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
FatonShabirah,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
koocha_rita,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
nakther03,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
NicePerry,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
CosmoBodyUK,Do you know the best times to drink water during a workout (and how *much* you should glug)? http://t.co/4wjJ2Yn3tV http://t.co/ggk8tyvugf
iWantRiots,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
kimsilvestre_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
kamransalehi,I like a girl that goes to the gym and goes to school. Not just eat and drink alcohol wtf😂😂😂
aureliakadesa,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
jazmine_latrice,@Ayee_Stacks @AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout.”
XCjared,All athletes know that you basically marry chocolate milk after a workout.
__LUQMAN,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
HazemT_96,All athletes know that you basically marry chocolate milk after a workout.
meg_wil29,"“@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.”@cwil23"
rozzybox,I could work out or I could drink wine in the bath tub. #LifeChoices
KChambliss30,All athletes know that you basically marry chocolate milk after a workout.
bbysmeg,Do I drink more wine or do I go for a run... So many decisions
MarzarioNick,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AmirSyidi,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
KrabbyPatteee,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
rojeanalala,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
queentoriia,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
TOPPDOGG,Like yeah Ya guys hang out talk dat floogaasey shitwhile they be in a suite Lol drink wine n eat chips n Whoppers n get lovely fat n stuff
HuntsEatBeeps,"""THURSDAY BIKE NIGHT"" block party everyone welcome! - Gates Open 4pm w/Happy Hour Drinks & Beer - 6pm $2 BudLt... http://t.co/0kTpwvNu7x"
JsphDvd,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
VodkaTiem,Let's drink beer and eat nachos and talk about how skinny we're gonna be when we start exercising....
kayla_Xa,Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.
yasirkhuaja,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
infinityfit_pt,Fasted cardio this morning. Protein shake and some coconut water pre workout. #cardio #hiit… http://t.co/YeN8Y4c2f8
heyitsmiamor,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
1Denisewilson17,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ashattackkkk17,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Hellojennay,Drank some pre work out in order to survive this 15 hour shift I have today
Xecuter101,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
yasoof96,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
superman_melayu,"""@TheWeirdWorld: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" Really?"
ChristianAroz,Don't drink beer and then go to gym
AlexChella_021,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
mommygabriela24,Protein drink after a great workout! It's delicious!! #protein #peachmango #herbalife #delicious… http://t.co/78U15kIlSn
Drea35_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
marie_joelys,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
alexhowe__,@_kodyweil Regular gym and do arms every single day. Legs/cardio? You don't need that. Also make sure you drink protein between every rep.
brittanic93,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ceejayesq,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RIArcangel,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ChrisVelez44,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
SirCion,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
mohiyuddinkhan7,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
DairyFuelsMeUp,As health pros you know milk is great - have you discussed the benefits of refueling w/ #chocolatemilk post work-out? http://t.co/VFfzVAoRaD
celesteeee__,Tea ✔️  Workout ✔️  Shake ✔️  Beauty rest 👍
dnllplstn,"“@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.”"
Razakthirdson,"""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
ohhhsolucky,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
AkosiiMhaey,"""@TheUnusualFact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."" Be @IamDyeyEyyyy  oh :)"
gio_slippin,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
dee_eez,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_jirah__,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
fukase324,"Although I didnt drink alcohol yesterday, my record of today's bench press isnt good. (-"
TheLifeDiaries,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Adioking,@FitandSwole im looking for a new pre work out drink. Any recommendations?
MelisLily,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
TAMPORUROT101,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
YushareenaWani,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
azzeik17,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
cjsuyak,"Drinking coffee, after I already took pre workout, on my way to the gym.  Yeah, that's where I'm at right now. 😴"
jillianhout,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
mysteriousfact,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
jesmartroy,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
cookiebautista,Anyone know any good pre workout drinks or shakes
MelissaLove00,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
amatoshiroi,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
RaydenAndruh,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Aasmak22,Drinking chocolate milk after an intense workout rep can help you perform better at the remaining reps than energy drinks.
johanaalfaro_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
enrique310_,I should never drank liquor then run an hour after ... I feel like shit and threw up like crazy 😩😷💀 but I didn't want to miss a workout 😑
IcePrince007,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
aiaaron3,"I told the nigga I drink every weekend , eat all junk food , I just turned 20 last week lol it's a wrap for that bodybuildin shit"
itsjustov,I'm gonna drink a LOT this weekend and eat like a fat girl bc it all changes September 1
Schantanu,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Drachnik,"Went to buddies with one of the companies I work for, drank beer and then went to the gym? Haha"
ENINAGB,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
LetMeBlossom,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
sweetnokk,"""@TheGoogleFactz: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
_iHersheyKiss_,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Dr_Alfrra,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process"
RyanTravisMoore,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
freewillylagan,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Jaybie_2213,"""@Fact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process."""
_1Robinhood,My dad thinks only because I wake up early to workout and study I should be making him coffee in the morning. Got me fucked up! Go to work!
ItsMeElew,All athletes know that you basically marry chocolate milk after a workout.
mikayla_oneD,All athletes know that you basically marry chocolate milk after a workout.
billsienerth,@FitFluential q1 I get my pre workout drink ready at 5am get dressed and stretch then straight to training! #BSN
madam_halesalot,"""Haley feed & water the dogs"" ""Haley sweep the floor I keep stepping on shit"" ""Haley watch tj"" Haley do everything my fat ass is too lazy to"
grraaacceee_,All athletes know that you basically marry chocolate milk after a workout.
caleb_scully,Just got to the gym to find out its closed and I already drank a pre workout now I just wanna kill myself..
Princesssmads,Put in a good hour at the gym now for some chocolate milk and a shower 😁
TramayneDye,Was tired at gym today and realized all I drank was alcohol last night ... #timeforchange #detox… http://t.co/QvRirT42Ok
wellnessNP,"Post workout recovery drink, spinach with scrambled eggs and swiss chard for dinner. http://t.co/oZ3qS7r2Nz"
itstaz34,All athletes know that you basically marry chocolate milk after a workout.
emmafazadylla,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
kailadeann,I hate when people tell me I shouldn't drink beer because it makes you fat. Like hello I obviously know that. 😒
GymEncourage,Drink your recovery shakes before your workout to recover from the anxiety and fear of lifting weights
rachelpisaruck,chocolate milk will forever be the go to drink after a practice/workout 😋👌
alieekuzam93,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
fuckyeahEmylee,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
amos_sam,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
SayArnzie,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
ParmieP,"Eat, Drink, Bike: Exploring Sonoma wine country http://t.co/zT7cZA1sgG via @SandInSuitcase"
Janetthernandez,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
_alliemitchell1,“@AllAthletesKnow: All athletes know that you basically marry chocolate milk after a workout.” @colpri5
TheUnusuaIFactz,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
jb6913,“@stonecoldbetch: Can't decide if I want to workout or drink wine? #whitegirlproblems” workout THEN drink wine #fellowwhitegirlsolutions
harry5848,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
HiddenTips,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
EthanMcPherson3,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
Mili66Pili,"I drunk a coke slushy so fast...I though I was gonna die...is so hot in my room I feel like I'm in a sauna...geez, can it be any hotter?"
tvpam,Fireball and diet coke. The weekend has begun.
dada_jay_,"After you wash your face, mix 1 tablespoon apple cider vinegar with 2 cups water as a finishing rinse to cleanse and tighten your skin."
MastaJuanHughes,Chocolate milk shower movie then gym 👌
umarkasim51,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
don_el_lo,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
__EboneeHarris,Wondering how my soda got hot and it was cold af in my room lastnight 😑
Marg_31,"“@Fact: If you want to burn fat faster, a cup of coffee before a workout will speed up the process.”"
Nunney2584,"If you want to burn fat faster, a cup of coffee before a workout will speed up the process."
